task_id,source,upload_url,image_id,ai_path,ai_path_en,has_human_ref,human_ref_path,ann_A_action,ann_A_path,ann_A_path_en,ann_A_uncertain,ann_A_uncertain_reason,ann_B_action,ann_B_path,ann_B_path_en,ann_B_uncertain,ann_B_uncertain_reason,ann_C_action,ann_C_path,ann_C_path_en,ann_C_uncertain,ann_C_uncertain_reason,ann_D_action,ann_D_path,ann_D_path_en,ann_D_uncertain,ann_D_uncertain_reason,ann_E_action,ann_E_path,ann_E_path_en,ann_E_uncertain,ann_E_uncertain_reason,agreement_type,majority_path,decision,confidence
T0010,780,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/ec3d4c96-9ee3-438d-8dc3-92c9b6e0d7be/image_0010.png,LS Taxonomy- Images-1-19/images/image_0010.png,,,true,旅游/人文风光/夜景,OVERRIDE,旅游/人文风光/城市,Travel/Cultural Scenery/City,false,,,,,,,OVERRIDE,旅游/航拍风光,Travel/Aerial Scenery,false,,OVERRIDE,旅游/人文风光/夜景,Travel/Cultural Scenery/Night View,false,,,,,,,REVIEW_SUBLEVEL,,NEEDS_REVIEW,0.0
T0056,780,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/a4f4cab9-fbb2-4300-a4a9-c6c37217db76/image_0056.png,LS Taxonomy- Images-1-19/images/image_0056.png,,,true,旅游/人文风光/建筑,OVERRIDE,旅游/人文风光/城市,Travel/Cultural Scenery/City,false,,OVERRIDE,旅游/人文风光/建筑,Travel/Cultural Scenery/Architecture,false,,,,,,,OVERRIDE,旅游/热门目的地/亚洲,Travel/Popular Destinations/Asia,false,,,,,,,REVIEW_SUBLEVEL,,NEEDS_REVIEW,0.0
T0085,780,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/e53ad16a-672e-4939-957d-521b8384e161/image_0072.png,LS Taxonomy- Images-1-19/images/image_0085.png,,,true,,OVERRIDE,旅游/人文风光/城市,Travel/Cultural Scenery/City,false,,,,,,,OVERRIDE,旅游/航拍风光,Travel/Aerial Scenery,false,,OVERRIDE,旅游/热门目的地,Travel/Popular Destinations,false,,,,,,,REVIEW_SUBLEVEL,,NEEDS_REVIEW,0.0
T0137,780,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/9d5a90aa-493c-4660-9a6b-8ca843ef8074/image_0137.png,LS Taxonomy- Images-1-19/images/image_0137.png,,,true,,,,,,,OVERRIDE,旅游/自然风光/草原,Travel/Natural Scenery/Grassland,false,,OVERRIDE,旅游/航拍风光,Travel/Aerial Scenery,false,,,,,,,OVERRIDE,旅游/自然风光/丘陵,Travel/Natural Scenery/Hills,false,,REVIEW_SUBLEVEL,,NEEDS_REVIEW,0.0
T0145,780,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/497eea56-cc36-4591-a8cd-b61c3a5afec0/image_0065.png,LS Taxonomy- Images-1-19/images/image_0145.png,绘画/插画,Painting/Illustration,true,影视/剧集/英美剧/科幻电视剧,,,,,,,,,,,ACCEPT,绘画/插画,Painting/Illustration,false,,OVERRIDE,影视/剧集/英美剧/悬疑电视剧,Film & TV/TV Series/British and American Dramas/Suspense TV Series,false,,OVERRIDE,影视/剧集/英美剧/科幻电视剧,Film & TV/TV Series/British and American Dramas/Science Fiction TV Series,false,,REVIEW_L1,,NEEDS_REVIEW,0.0
T0199,780,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/0c548375-4dc2-43f2-97c6-b2869029176e/image_0013.png,LS Taxonomy- Images-1-19/images/image_0199.png,,,true,,OVERRIDE,旅游/人文风光/博物馆,Travel/Cultural Scenery/Museum,false,,OVERRIDE,旅游/人文风光/城市,Travel/Cultural Scenery/City,false,,,,,,,OVERRIDE,旅游/人文风光/建筑,Travel/Cultural Scenery/Architecture,false,,,,,,,REVIEW_SUBLEVEL,,NEEDS_REVIEW,0.0
T0273,780,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/9789b940-aec4-4c25-84fe-882c5c628e2f/image_0273.png,LS Taxonomy- Images-1-19/images/image_0273.png,,,true,,,,,,,OVERRIDE,静物/文具/笔,Still Life/Stationery/Pen,false,,,,,,,UNCERTAIN,绘画/素描,Painting/Sketch,true,"Not sure if this image is in painting category. Since painting category should include the image of art painting (have visual appeal) not the tools.Meanwhile in art category, also not having tools in 2nd or 3rd category. Based on these consideration, closest category is Painting and sketch. But furthermore these image is not classifed as a painting in painting and sketch category,  because the visual is just ordinary (not meet painting visual standard)  in my opinion",OVERRIDE,静物/文具,Still Life/Stationery,false,,REVIEW_UNCERTAIN,,NEEDS_REVIEW,0.0
T0285,780,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/8b441bf9-0f86-4740-ace7-9076e600d441/image_0349.png,LS Taxonomy- Images-1-19/images/image_0285.png,影视/电影/欧美电影/恐怖电影,Film & TV/Films/European and American Movies/Horror Movie,true,影视/剧集/英美剧/科幻电视剧,MODIFY,影视/剧集/英美剧/奇幻电视剧,Film & TV/TV Series/British and American Dramas/Fantasy TV Series,false,,MODIFY,影视/剧集/英美剧/科幻电视剧,Film & TV/TV Series/British and American Dramas/Science Fiction TV Series,false,,,,,,,ACCEPT,影视/电影/欧美电影/恐怖电影,Film & TV/Films/European and American Movies/Horror Movie,false,,,,,,,REVIEW_SUBLEVEL,,NEEDS_REVIEW,0.0
T0373,780,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/3f3ede95-a0c6-42ca-a912-99ec3600afa3/image_0239.png,LS Taxonomy- Images-1-19/images/image_0373.png,,,true,,,,,,,OVERRIDE,植卉/花卉/雏菊,Flora/Flowers/Daisy,false,,,,,,,OVERRIDE,植卉/花卉,Flora/Flowers,false,,OVERRIDE,植卉/花卉/菊花,Flora/Flowers/Chrysanthemum,false,,REVIEW_SUBLEVEL,,NEEDS_REVIEW,0.0
T0419,780,http://cdo-browser.s3.ap-southeast-1.amazonaws.com/cdoBrowser/9D5EBBA483414B24B6C077A8F69C44A6EC7D424979CC9C513D1E04971F8133A1/4b8e1959-161d-4d8d-9fc7-eb697d6e12e1/image_0098.png,LS Taxonomy- Images-1-19/images/image_0419.png,,,true,,OVERRIDE,旅游/人文风光/人造设施,Travel/Cultural Scenery/Man-made Facilities,false,,,,,,,,,,,,OVERRIDE,旅游/热门目的地,Travel/Popular Destinations,false,,OVERRIDE,旅游/热门目的地/亚洲,Travel/Popular Destinations/Asia,false,,REVIEW_SUBLEVEL,,NEEDS_REVIEW,0.0
